Estuary,Year,Nutrients,Phytoplankton
8,1987,92.2939141,449.9092932
8,1988,88.06594511,421.554744
8,1989,76.56886775,369.2794432
8,1990,81.71633114,383.1003477
8,1991,79.15144663,379.0728628
8,1992,80.58860588,395.4697057
8,1993,79.96791168,384.5822745
8,1994,75.63798153,373.765672
8,1995,83.14572708,422.0602341
8,1996,84.23076704,396.1424202
8,1997,74.05131288,360.67098
8,1998,80.47777796,392.3507657
8,1999,82.5917563,397.5060453
8,2000,73.27009145,363.4781519
8,2001,85.91337522,418.0627728
8,2002,75.13596525,357.4598811
8,2003,90.54349695,447.4380473
8,2004,70.80170171,336.2880902
8,2005,80.19829122,389.2934539
8,2006,80.88783485,391.2024849
8,2007,78.65991739,385.274733
8,2008,77.57981372,381.4375095
8,2009,85.52237303,408.8905302
9,1980,67.40917572,366.7390766
9,1981,81.5913184,418.8433924
9,1982,68.81739078,366.3023144
9,1983,70.60878573,364.8083159
9,1984,83.07840581,442.7191297
9,1985,67.88739967,362.6462102
9,1986,69.44567459,366.677307
9,1987,75.72532315,400.1709824
9,1988,70.27820549,382.7241744
9,1989,76.51843949,391.5738713
9,1990,78.04949262,408.953882
9,1991,80.07405329,422.7998677
9,1992,82.05602889,441.8139002
9,1993,88.83053402,473.4430597
9,1994,76.12070048,405.5843036
9,1995,77.44499697,408.9284177
9,1996,83.05863086,440.5272752
9,1997,72.50371774,370.4820511
9,1998,85.41942858,455.030435
9,1999,70.91130499,382.1855657
9,2000,79.20470582,424.5655742
9,2001,80.60949777,432.1502079
9,2002,74.08216113,394.9218941
9,2003,69.97583489,370.3490385
9,2004,69.34783603,376.9905102
9,2005,79.35985279,433.0060417
9,2006,82.2384054,435.2120588
9,2007,70.79057569,371.7746964
9,2008,69.93245033,384.8140844
9,2009,68.84076773,370.2317452
10,1980,57.33014792,330.4598599
10,1981,72.60373166,410.5403953
10,1982,63.1782542,357.8990892
10,1983,59.01091878,332.7885265
10,1984,63.43953593,357.3748908
10,1985,59.75106171,338.855503
10,1986,61.41217284,354.336598
10,1987,61.29385257,351.1527485
10,1988,68.9627423,397.2730627
10,1989,63.96460421,365.1643513
10,1990,59.56657188,337.3115817
10,1991,57.3137336,316.8103409
10,1992,59.58231437,338.9447028
10,1993,56.57536072,327.055193
10,1994,52.09570797,304.1917019
10,1995,57.14801424,326.1372734
10,1996,59.41921499,345.2043821
10,1997,58.79338032,331.9005062
10,1998,58.22501064,323.5213289
10,1999,65.81113151,368.6321414
10,2000,59.88772412,340.7614597
10,2001,61.83363762,346.5080919
10,2002,64.10112148,365.6909906
10,2003,65.89698876,372.1734828
10,2004,63.7219657,354.1394247
10,2005,60.56732598,348.425405
10,2006,62.27021676,348.5358187
10,2007,57.97716527,334.4157497
10,2008,61.02179439,348.5071662
10,2009,64.7643007,379.066154
11,1980,87.62756754,510.4346137
11,1981,89.85210922,523.8726789
11,1982,93.53131368,539.7478264
11,1983,95.85288103,556.6719467
11,1984,88.39323068,511.0129083
11,1985,92.58742208,535.3151733
11,1986,94.05862421,537.7084836
11,1987,91.01714135,519.4560433
11,1988,92.83487225,533.3790145
11,1989,86.02821577,496.6665483
11,1990,87.69407999,497.2475508
11,1991,93.46814678,539.4224751
11,1992,83.52864353,476.8742775
11,1993,87.15184849,496.7321539
11,1994,76.64091826,439.8942569
11,1995,89.25743412,514.2890131
11,1996,89.47362854,526.5909011
11,1997,88.40198457,517.430577
11,1998,88.12389517,500.2760646
11,1999,83.60507908,492.4561661
11,2000,96.25079408,557.1227829
11,2001,91.44867307,535.6236889
11,2002,94.27365642,539.8830858
11,2003,81.88585466,472.7215405
11,2004,94.77023582,539.3837031
11,2005,85.4184786,494.9488169
11,2006,90.58082834,523.7581291
11,2007,94.79793749,544.3110601
11,2008,85.55669698,492.9105409
11,2009,90.92053688,511.8364783
12,1980,78.46037486,363.3122017
12,1981,78.68104586,356.6084197
12,1982,76.22045663,347.2434217
12,1983,80.41223789,368.976876
12,1984,80.84217198,369.3039435
12,1985,75.52279955,349.8851175
12,1986,75.37866713,342.8661558
12,1987,78.22578193,363.2525502
12,1988,80.71236047,369.731803
12,1989,75.59759497,338.1626253
12,1990,74.3008737,349.3553857
12,1991,71.43665574,327.4815474
12,1992,80.22249166,363.3901177
12,1993,80.87354539,367.5082398
12,1994,68.73523196,311.5426996
12,1995,80.09348913,364.2443015
12,1996,83.71608883,392.363807
12,1997,75.74977859,351.7385245
12,1998,83.1324819,385.1839729
12,1999,75.49175221,342.0308866
12,2000,71.54970394,321.0562976
12,2001,75.15526634,341.7545698
12,2002,75.96380758,345.800696
12,2003,71.43027309,322.7072322
12,2004,78.32809451,360.1923922
12,2005,71.15413986,327.8419072
12,2006,82.48258082,379.6956785
12,2007,80.64965652,365.9019835
12,2008,80.34235261,377.5538767
12,2009,71.08442687,329.1619806
13,1980,91.77789823,427.5338216
13,1981,94.28305871,434.5711786
13,1982,95.99875365,454.5693386
13,1983,89.31883818,407.1982366
13,1984,77.76932501,358.889566
13,1985,97.32666984,454.3090898
13,1986,96.90077319,429.2207758
13,1987,98.79781188,461.8441769
13,1988,96.27874768,442.6587351
13,1989,97.04552461,447.5923964
13,1990,90.22487991,414.0558419
13,1991,84.274343,396.5937023
13,1992,95.12407235,439.657792
13,1993,102.1270425,473.133783
13,1994,96.04103626,448.5555161
13,1995,91.96076141,432.5012177
13,1996,104.6679494,480.6211604
13,1997,97.82083246,443.0987015
13,1998,91.28058323,415.6787861
13,1999,102.7689723,470.3533564
13,2000,95.53999984,437.34935
13,2001,91.80335052,425.1217045
13,2002,96.56580294,438.4429847
13,2003,86.64256185,402.6357236
13,2004,99.10638442,453.990158
13,2005,93.44603089,442.3060119
13,2006,100.6979958,474.9126521
13,2007,93.66428601,433.1059342
13,2008,96.17522206,449.1032096
13,2009,98.7251281,448.3663131
14,1980,85.0383046,438.4793993
14,1981,88.49740298,450.8370404
14,1982,83.81981911,435.8630012
14,1983,89.6733474,470.6855331
14,1984,82.36562621,418.5771537
14,1985,81.35689079,430.2009295
14,1986,80.91402667,422.2478527
14,1987,81.70715892,432.5367296
14,1988,85.29139296,446.0371768
14,1989,83.73800402,426.5973162
14,1990,76.88865205,395.0292485
14,1991,84.79210308,459.6556651
14,1992,85.15738862,444.3285904
14,1993,90.06869037,459.8865794
14,1994,87.74520642,455.3919779
14,1995,82.7352857,438.5251101
14,1996,83.63572211,440.3241288
14,1997,81.42651489,417.899054
14,1998,80.40444042,418.2844053
14,1999,81.6030251,423.828534
14,2000,79.58846659,411.0810277
14,2001,80.7796224,424.5290282
14,2002,91.15467528,466.4670322
14,2003,84.15871322,439.8775418
14,2004,95.02457361,484.3177798
14,2005,86.18885496,444.6640215
14,2006,89.98699139,469.3886113
14,2007,76.31421616,394.1072431
14,2008,89.90876221,471.7118503
14,2009,79.25021807,406.1934305
15,1980,83.08214007,420.8967736
15,1981,76.37636015,377.1520701
15,1982,76.09881742,380.9503792
15,1983,87.84373763,438.0232226
15,1984,83.57141575,409.9055339
15,1985,78.75533611,390.7228358
15,1986,80.98368613,403.0338968
15,1987,84.23994284,426.5355293
15,1988,81.45336003,398.1217313
15,1989,76.66963331,381.3524789
15,1990,82.38841127,409.426463
15,1991,81.68934793,409.5701801
15,1992,79.63244424,406.3619358
15,1993,75.1971782,365.2535375
15,1994,74.91782995,378.3680969
15,1995,79.70170987,397.6280161
15,1996,83.94779599,410.8757294
15,1997,82.7901977,411.2046342
15,1998,77.28546472,381.1763216
15,1999,82.18001472,411.213252
15,2000,79.93724369,397.6463402
15,2001,74.70196543,388.2180682
15,2002,80.27137076,398.2244908
15,2003,74.25356653,369.5883046
15,2004,84.13971272,425.745903
15,2005,75.07252142,376.8506782
15,2006,78.61294481,395.7110938
15,2007,78.95494191,395.4041047
15,2008,87.28676551,444.3732232
15,2009,76.7077926,387.9884501
16,1980,87.02856381,464.1725822
16,1981,89.44590182,486.7730477
16,1982,77.00999008,408.0797345
16,1983,77.19298469,405.1009448
16,1984,79.74733836,416.6974159
16,1985,84.3187156,448.1431789
16,1986,85.74361911,452.9073506
16,1987,89.5797233,466.536413
16,1988,89.27988904,471.9964107
16,1989,93.68559483,496.4755545
16,1990,85.3091215,453.2816001
16,1991,91.84731366,494.6009005
16,1992,82.27263208,430.895599
16,1993,90.02382372,472.9043637
16,1994,94.12201173,498.2563066
16,1995,90.42462774,487.1343731
16,1996,77.04108304,400.1374917
16,1997,91.31535743,496.4643647
16,1998,86.46037771,457.2194074
16,1999,99.19185011,533.6367033
16,2000,87.52731777,462.6347179
16,2001,85.73907902,452.7177031
16,2002,88.65683238,466.8105474
16,2003,91.42427865,480.4543377
16,2004,91.85414354,483.8229705
16,2005,90.60361929,485.0942969
16,2006,78.1035134,414.5357375
16,2007,89.27478614,466.6963479
16,2008,85.17292309,455.4563885
16,2009,77.78809994,412.6953611
17,1980,71.05197225,323.7910313
17,1981,87.28645391,395.6395502
17,1982,71.73598129,332.1544366
17,1983,65.02441838,293.1774804
17,1984,69.32142107,320.6938724
17,1985,79.89679013,373.6592159
17,1986,81.42494686,371.6794881
17,1987,77.43251848,354.6565615
17,1988,77.66387346,359.033876
17,1989,74.56485712,337.7486191
17,1990,67.44797566,315.9289579
17,1991,76.60371418,350.7380973
17,1992,77.23653912,349.8828907
17,1993,79.54154947,358.8403639
17,1994,80.47648293,367.7462597
17,1995,69.96435268,326.3698557
17,1996,74.66300872,345.954993
17,1997,72.06982047,338.3269543
17,1998,82.30465168,373.9468955
17,1999,77.73560674,357.9429622
17,2000,79.99299902,375.912835
17,2001,74.3844574,344.5551828
17,2002,72.48587785,325.2581967
17,2003,72.69790374,345.5328138
17,2004,72.15740047,331.9660662
17,2005,73.97079806,351.2631342
17,2006,79.55174934,376.2620733
17,2007,79.40999771,368.7836019
17,2008,66.58044618,301.1807443
17,2009,76.77206677,344.7112635
18,1980,89.33962763,466.9283743
18,1981,77.95443899,412.7750062
18,1982,77.89181934,407.3448892
18,1983,73.7145647,370.9842341
18,1984,80.38145818,413.3196471
18,1985,76.83925804,403.0527805
18,1986,77.28979984,401.0712232
18,1987,83.37611719,425.4661215
18,1988,76.98128059,403.6291446
18,1989,84.11487109,462.2124693
18,1990,75.96225837,395.5192106
18,1991,79.63152467,417.6011426
18,1992,85.38301161,444.704584
18,1993,83.21219078,436.6221332
18,1994,76.58932798,398.768798
18,1995,74.15079121,397.1261017
18,1996,87.67063408,462.162208
18,1997,80.46702756,412.454709
18,1998,83.70462888,437.7155605
18,1999,74.70887142,376.8598262
18,2000,77.13178237,392.6327569
18,2001,71.25993489,376.4123581
18,2002,80.27344977,418.1157341
18,2003,87.40677079,454.8510852
18,2004,83.49305099,432.4700524
18,2005,79.02688739,427.5822831
18,2006,84.23137755,439.8579289
18,2007,80.37973779,415.808662
18,2008,83.62268111,435.7356628
18,2009,79.77882195,419.8263762
19,1980,77.71638937,442.4627812
19,1981,83.51675778,464.5960549
19,1982,80.38544865,437.2120606
19,1983,83.52386453,463.4246993
19,1984,93.51995631,514.9486947
19,1985,92.31922836,507.640497
19,1986,84.95203166,470.9769291
19,1987,87.17831003,488.1987044
19,1988,87.91874346,490.2833096
19,1989,89.69057017,492.1675718
19,1990,82.74110099,459.416121
19,1991,77.74932773,433.0425364
19,1992,80.10556737,449.1435506
19,1993,75.68448264,424.4252367
19,1994,70.97191674,400.2708938
19,1995,90.71292882,504.9419279
19,1996,86.33571074,481.8154508
19,1997,85.67049275,471.3211285
19,1998,84.90679041,475.4569326
19,1999,88.58997382,491.7213475
19,2000,80.21182467,444.8065623
19,2001,83.87768426,470.1545097
19,2002,87.99214052,498.2340788
19,2003,83.02040931,465.3820026
19,2004,77.51910683,429.0642357
19,2005,81.81590308,447.7897632
19,2006,81.43233909,455.9971896
19,2007,85.65108617,468.6402698
19,2008,75.40458957,417.6234041
19,2009,84.53021595,470.3370911
20,1980,88.49513017,463.2413627
20,1981,88.97692831,464.7647149
20,1982,80.29398012,416.9470326
20,1983,85.01315598,452.4908299
20,1984,86.17571098,444.9495294
20,1985,82.76250546,436.2115016
20,1986,85.86422972,443.2999944
20,1987,89.10984692,482.7632937
20,1988,86.46578178,463.3169991
20,1989,77.6121138,403.1012283
20,1990,82.65687061,425.936916
20,1991,72.72586716,379.0316335
20,1992,84.54978114,443.1483808
20,1993,93.18956536,487.1061952
20,1994,80.16213568,420.4832348
20,1995,80.12636411,411.0474994
20,1996,84.91430757,439.6730603
20,1997,84.85609006,431.8237122
20,1998,100.0097225,520.5917967
20,1999,85.49875599,447.7641675
20,2000,91.97143686,483.7180295
20,2001,86.88251435,465.3747985
20,2002,89.18218636,473.1948711
20,2003,81.79399369,429.1405445
20,2004,83.94323633,441.7968612
20,2005,84.3979469,442.8414205
20,2006,77.63757807,405.8840466
20,2007,90.27799316,471.7931286
20,2008,74.39975427,387.5843536
20,2009,87.67923886,455.137206
21,1980,78.2943601,373.6990843
21,1981,82.50946214,398.4489189
21,1982,83.44072617,398.8283176
21,1983,90.24553921,432.2699279
21,1984,86.68967661,423.164191
21,1985,83.46738623,390.9725408
21,1986,86.96002247,423.4612989
21,1987,81.37495693,396.1341329
21,1988,74.36621989,362.2944018
21,1989,72.13204764,346.0955415
21,1990,79.0017872,379.6344606
21,1991,75.07871857,361.3146764
21,1992,86.61403817,416.4348475
21,1993,83.18618471,396.5476878
21,1994,79.53182719,375.5966363
21,1995,90.4423225,426.1249972
21,1996,80.71198784,389.7550413
21,1997,87.78008936,429.2888324
21,1998,86.95205867,427.2774767
21,1999,85.65875237,408.26543
21,2000,78.3789583,372.4843096
21,2001,80.28577781,380.2381678
21,2002,81.97736583,399.2694575
21,2003,79.35750381,380.2218182
21,2004,77.72720054,365.2414319
21,2005,76.47084362,362.2422698
21,2006,86.95428193,417.5923556
21,2007,77.86781396,371.2215399
21,2008,73.56521533,357.6517656
21,2009,79.25808157,380.9640447
22,1980,101.3793302,544.3522172
22,1981,87.55455255,466.9863788
22,1982,90.03445821,477.8387566
22,1983,100.3781379,528.9712835
22,1984,94.66389793,501.3677247
22,1985,100.7423621,539.0868496
22,1986,92.84397392,493.7523971
22,1987,94.18764136,511.2025868
22,1988,97.70886684,511.0785436
22,1989,95.8246017,512.2634338
22,1990,87.89197356,459.8284369
22,1991,87.09918044,464.8988805
22,1992,89.28981603,473.1554328
22,1993,97.69115582,517.4858161
22,1994,96.61121107,505.6948857
22,1995,94.29571843,506.1071148
22,1996,96.26708969,514.7760397
22,1997,92.38186092,489.1482247
22,1998,95.6330478,513.1552766
22,1999,97.74942702,523.1294631
22,2000,95.74700543,512.2956254
22,2001,81.19636054,434.3277771
22,2002,95.85785378,507.3307162
22,2003,82.42388567,440.7669697
22,2004,99.08318458,523.6860443
22,2005,95.33689255,504.4663239
22,2006,94.83672929,492.7525617
22,2007,92.76892883,494.1140683
22,2008,95.69639334,500.8081397
22,2009,86.62807397,460.0083886
23,1980,112.8625944,521.8843554
23,1981,107.2102653,498.7387478
23,1982,92.72964639,428.4658104
23,1983,101.8445626,477.6989987
23,1984,97.19748068,458.6640362
23,1985,105.598305,490.1123068
23,1986,116.73917,546.8259604
23,1987,94.00914236,436.913565
23,1988,98.9827033,457.1128456
23,1989,102.2745976,482.2344274
23,1990,98.20600919,446.4153497
23,1991,96.36295286,441.0526432
23,1992,105.1542857,489.2492429
23,1993,105.3629405,494.4864465
23,1994,93.07691252,447.3718249
23,1995,97.48816978,448.4303501
23,1996,94.18159854,437.1508465
23,1997,99.63574414,473.5651125
23,1998,105.3353119,500.2426154
23,1999,96.54987659,441.883923
23,2000,102.8848433,473.6187734
23,2001,96.99303327,460.356308
23,2002,94.94100479,436.5725742
23,2003,102.0106949,478.6627961
23,2004,97.69135442,440.512205
23,2005,98.497109,472.403689
23,2006,100.3969751,476.2911132
23,2007,97.26667171,448.626711
23,2008,103.1495174,488.7421923
23,2009,96.49707636,447.1830515
24,1980,87.72027408,479.0314249
24,1981,88.01289779,468.7103767
24,1982,78.70266805,427.349545
24,1983,85.38510197,448.8559825
24,1984,77.687786,429.3457917
24,1985,76.80014297,414.4827019
24,1986,85.024452,458.4237399
24,1987,88.16665355,466.0722572
24,1988,86.4887538,468.9652603
24,1989,84.60849366,464.5539833
24,1990,77.48194167,420.1216221
24,1991,86.67848822,464.6645034
24,1992,82.08648308,443.6317835
24,1993,83.82750943,448.769709
24,1994,80.95159323,443.5503227
24,1995,85.56159971,467.55659
24,1996,90.66067795,492.9529518
24,1997,79.48413199,439.3986793
24,1998,79.42330672,431.4769094
24,1999,85.97410088,468.9491514
24,2000,84.47780018,466.6747573
24,2001,80.86335337,445.4450608
24,2002,91.75344726,494.4724277
24,2003,84.79470222,452.7025594
24,2004,80.18993903,440.443445
24,2005,90.14463659,485.5592236
24,2006,80.00590508,431.086815
24,2007,86.24984255,485.6719993
24,2008,81.87682524,453.2288268
24,2009,85.16360122,468.4488792
25,1980,97.33190301,492.3928584
25,1981,92.21536614,468.3546613
25,1982,88.84055153,445.9880493
25,1983,86.47892244,434.4218905
25,1984,92.27544564,459.5875879
25,1985,90.36332854,457.9096713
25,1986,94.12413367,478.8471464
25,1987,95.22858009,483.075361
25,1988,91.57015721,465.5897053
25,1989,89.03358852,455.4038124
25,1990,93.53342365,481.8492977
25,1991,89.24809533,454.9053389
25,1992,89.14479539,461.9252313
25,1993,91.0819573,459.5561461
25,1994,93.51548812,463.1560813
25,1995,89.68721103,456.8434275
25,1996,86.81173538,441.531017
25,1997,90.91400127,453.1793699
25,1998,82.84892337,428.4914533
25,1999,89.79123462,456.5624476
25,2000,98.15003931,502.7915381
25,2001,84.202878,430.5621855
25,2002,89.644708,460.2495835
25,2003,87.91496618,454.2035883
25,2004,92.62238537,473.3449721
25,2005,93.96320644,482.8298805
25,2006,96.35562469,490.9152703
25,2007,88.87031469,450.1985532
25,2008,90.00392108,472.9255284
25,2009,89.72520137,440.9924588
